filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LAMR,LAMR,12/13/2013,5109731,868462,5.883655
LAMR,LAMR,11/29/2013,5273109,1073262,4.913161
LAMR,LAMR,11/15/2013,4915243,1942342,2.530575
LAMR,LAMR,10/31/2013,4173217,956505,4.362985
LAMR,LAMR,10/15/2013,5340681,1006498,5.306201
LAMR,LAMR,9/30/2013,4558752,1504393,3.030293
LAMR,LAMR,9/13/2013,4311712,809445,5.326751
LAMR,LAMR,8/30/2013,4323629,801626,5.393574
LAMR,LAMR,8/15/2013,4118672,1000319,4.117359
LAMR,LAMR,7/31/2013,3565745,847413,4.207801
LAMR,LAMR,7/15/2013,3735038,923789,4.043172
LAMR,LAMR,6/28/2013,3600989,1101866,3.268083
LAMR,LAMR,6/14/2013,3925431,2236003,1.755557
LAMR,LAMR,5/31/2013,3093710,745273,4.151110
LAMR,LAMR,5/15/2013,3164557,862865,3.667500
LAMR,LAMR,4/30/2013,2375190,656300,3.619061
LAMR,LAMR,4/15/2013,2535457,842647,3.008920
LAMR,LAMR,3/28/2013,2457039,740856,3.316487
LAMR,LAMR,3/15/2013,2615142,923824,2.830779
LAMR,LAMR,2/28/2013,3294247,1107448,2.974629
LAMR,LAMR,2/15/2013,3057695,621887,4.916802
LAMR,LAMR,1/31/2013,2872944,820074,3.503274
LAMR,LAMR,1/15/2013,5746017,702553,8.178767
