filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LFUS,LFUS,12/13/2013,511138,85781,5.958639
LFUS,LFUS,11/29/2013,528415,57028,9.265887
LFUS,LFUS,11/15/2013,513611,93029,5.520977
LFUS,LFUS,10/31/2013,536809,79466,6.755203
LFUS,LFUS,10/15/2013,498269,83718,5.951755
LFUS,LFUS,9/30/2013,490987,85621,5.734423
LFUS,LFUS,9/13/2013,432644,72439,5.972529
LFUS,LFUS,8/30/2013,410723,82981,4.949603
LFUS,LFUS,8/15/2013,263382,90021,2.925784
LFUS,LFUS,7/31/2013,297839,91558,3.253009
LFUS,LFUS,7/15/2013,394696,111399,3.543084
LFUS,LFUS,6/28/2013,338433,111133,3.045297
LFUS,LFUS,6/14/2013,347399,94063,3.693259
LFUS,LFUS,5/31/2013,316944,96578,3.281741
LFUS,LFUS,5/15/2013,420335,84529,4.972672
LFUS,LFUS,4/30/2013,439248,94514,4.647438
LFUS,LFUS,4/15/2013,387604,102971,3.764205
LFUS,LFUS,3/28/2013,381147,65191,5.846620
LFUS,LFUS,3/15/2013,375515,66603,5.638109
LFUS,LFUS,2/28/2013,364037,69902,5.207820
LFUS,LFUS,2/15/2013,342236,100922,3.391094
LFUS,LFUS,1/31/2013,535670,103979,5.151713
LFUS,LFUS,1/15/2013,549944,106474,5.165054
