filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LUB,LUB,12/13/2013,159271,28727,5.544296
LUB,LUB,11/29/2013,182564,17861,10.221376
LUB,LUB,11/15/2013,182344,18934,9.630506
LUB,LUB,10/31/2013,230305,28076,8.202914
LUB,LUB,10/15/2013,232673,26920,8.643128
LUB,LUB,9/30/2013,248153,24051,10.317783
LUB,LUB,9/13/2013,264871,11731,22.578723
LUB,LUB,8/30/2013,258963,19266,13.441451
LUB,LUB,8/15/2013,231242,13610,16.990595
LUB,LUB,7/31/2013,251191,22793,11.020533
LUB,LUB,7/15/2013,308760,35616,8.669137
LUB,LUB,6/28/2013,325923,47371,6.880222
LUB,LUB,6/14/2013,342735,54482,6.290793
LUB,LUB,5/31/2013,337439,41532,8.124795
LUB,LUB,5/15/2013,365585,30465,12.000164
LUB,LUB,4/30/2013,379300,32774,11.573198
LUB,LUB,4/15/2013,311127,57694,5.392710
LUB,LUB,3/28/2013,302129,88742,3.404577
LUB,LUB,3/15/2013,286723,41669,6.880967
LUB,LUB,2/28/2013,308043,48784,6.314427
LUB,LUB,2/15/2013,300234,68818,4.362725
LUB,LUB,1/31/2013,316068,27586,11.457551
LUB,LUB,1/15/2013,331882,28451,11.665038
