filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MCK,MCK,12/13/2013,1840438,1735720,1.060331
MCK,MCK,11/29/2013,2508509,1212214,2.069362
MCK,MCK,11/15/2013,2822016,1536640,1.836485
MCK,MCK,10/31/2013,2690384,2549313,1.055337
MCK,MCK,10/15/2013,1899766,1906459,1.000000
MCK,MCK,9/30/2013,2060815,1236339,1.666869
MCK,MCK,9/13/2013,1728549,854343,2.023249
MCK,MCK,8/30/2013,1189387,841912,1.412721
MCK,MCK,8/15/2013,1316495,837958,1.571075
MCK,MCK,7/31/2013,1443393,1053356,1.370280
MCK,MCK,7/15/2013,1417793,866562,1.636113
MCK,MCK,6/28/2013,2024474,1519235,1.332561
MCK,MCK,6/14/2013,2222332,1085645,2.047015
MCK,MCK,5/31/2013,2605457,1134276,2.297022
MCK,MCK,5/15/2013,3045619,1359463,2.240310
MCK,MCK,4/30/2013,3814280,1163692,3.277740
MCK,MCK,4/15/2013,3848932,1029292,3.739398
MCK,MCK,3/28/2013,4563457,1454994,3.136409
MCK,MCK,3/15/2013,5541953,1625998,3.408339
MCK,MCK,2/28/2013,3178167,1931000,1.645866
MCK,MCK,2/15/2013,2952017,1692687,1.743983
MCK,MCK,1/31/2013,3279259,1134425,2.890679
MCK,MCK,1/15/2013,3045959,1185189,2.570020
