filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MTZ,MTZ,12/13/2013,8638344,661559,13.057556
MTZ,MTZ,11/29/2013,8147141,331943,24.543795
MTZ,MTZ,11/15/2013,8402628,638925,13.151196
MTZ,MTZ,10/31/2013,8786461,546261,16.084731
MTZ,MTZ,10/15/2013,9078609,697648,13.013166
MTZ,MTZ,9/30/2013,8511211,1049192,8.112158
MTZ,MTZ,9/13/2013,8389828,400286,20.959584
MTZ,MTZ,8/30/2013,8422325,730873,11.523650
MTZ,MTZ,8/15/2013,10361945,927397,11.173149
MTZ,MTZ,7/31/2013,10518734,520408,20.212476
MTZ,MTZ,7/15/2013,11690054,461414,25.335282
MTZ,MTZ,6/28/2013,11981140,586032,20.444515
MTZ,MTZ,6/14/2013,11192773,633408,17.670716
MTZ,MTZ,5/31/2013,11787240,773111,15.246504
MTZ,MTZ,5/15/2013,11536390,994452,11.600751
MTZ,MTZ,4/30/2013,11755153,577411,20.358381
MTZ,MTZ,4/15/2013,11343029,769782,14.735378
MTZ,MTZ,3/28/2013,11369856,1040543,10.926849
MTZ,MTZ,3/15/2013,12085719,1023984,11.802644
MTZ,MTZ,2/28/2013,12024854,1000848,12.014666
MTZ,MTZ,2/15/2013,11854712,815112,14.543660
MTZ,MTZ,1/31/2013,12076982,1189005,10.157217
MTZ,MTZ,1/15/2013,9967561,1067800,9.334670
