filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MUR,MUR,12/13/2013,10328372,1362726,7.579199
MUR,MUR,11/29/2013,10141893,1427821,7.103056
MUR,MUR,11/15/2013,9069605,1632523,5.555576
MUR,MUR,10/31/2013,7416534,1457678,5.087910
MUR,MUR,10/15/2013,6779098,1590620,4.261922
MUR,MUR,9/30/2013,6823289,1203649,5.668836
MUR,MUR,9/13/2013,6330639,2272201,2.786126
MUR,MUR,8/30/2013,5503282,1270556,4.331397
MUR,MUR,8/15/2013,6828658,1239580,5.508848
MUR,MUR,7/31/2013,6525225,1108428,5.886918
MUR,MUR,7/15/2013,6219477,1177016,5.284106
MUR,MUR,6/28/2013,7549899,1591269,4.744577
MUR,MUR,6/14/2013,8706744,1429693,6.089940
MUR,MUR,5/31/2013,9155799,1592338,5.749909
MUR,MUR,5/15/2013,6082374,1550594,3.922609
MUR,MUR,4/30/2013,6728185,1764870,3.812284
MUR,MUR,4/15/2013,7476469,1478201,5.057816
MUR,MUR,3/28/2013,6817861,1291353,5.279626
MUR,MUR,3/15/2013,7138197,1395102,5.116613
MUR,MUR,2/28/2013,6918837,1432034,4.831475
MUR,MUR,2/15/2013,6373385,1616881,3.941777
MUR,MUR,1/31/2013,7009889,1827669,3.835426
MUR,MUR,1/15/2013,9260340,1285329,7.204646
