filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NCI,NCI,12/13/2013,473443,166530,2.842989
NCI,NCI,11/29/2013,512145,128042,3.999820
NCI,NCI,11/15/2013,421137,157310,2.677115
NCI,NCI,10/31/2013,518982,209630,2.475705
NCI,NCI,10/15/2013,517396,176051,2.938898
NCI,NCI,9/30/2013,521283,232583,2.241277
NCI,NCI,9/13/2013,705098,221175,3.187964
NCI,NCI,8/30/2013,557121,216076,2.578357
NCI,NCI,8/15/2013,428662,176216,2.432594
NCI,NCI,7/31/2013,519543,193421,2.686073
NCI,NCI,7/15/2013,621908,192460,3.231362
NCI,NCI,6/28/2013,847022,457342,1.852054
NCI,NCI,6/14/2013,736425,158790,4.637729
NCI,NCI,5/31/2013,648839,102404,6.336071
NCI,NCI,5/15/2013,751301,128885,5.829235
NCI,NCI,4/30/2013,770211,148695,5.179804
NCI,NCI,4/15/2013,675508,116411,5.802785
NCI,NCI,3/28/2013,678921,125204,5.422518
NCI,NCI,3/15/2013,671433,129369,5.190061
NCI,NCI,2/28/2013,682087,185655,3.673949
NCI,NCI,2/15/2013,587490,242304,2.424599
NCI,NCI,1/31/2013,649012,158727,4.088857
NCI,NCI,1/15/2013,587234,218181,2.691499
