filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NILE,NILE,12/13/2013,2042760,149319,13.680510
NILE,NILE,11/29/2013,2365710,158970,14.881487
NILE,NILE,11/15/2013,2465328,169154,14.574459
NILE,NILE,10/31/2013,2190603,148495,14.752032
NILE,NILE,10/15/2013,2178761,115599,18.847577
NILE,NILE,9/30/2013,2174524,123036,17.673884
NILE,NILE,9/13/2013,2332417,76777,30.379111
NILE,NILE,8/30/2013,2304681,135743,16.978268
NILE,NILE,8/15/2013,2237689,136609,16.380246
NILE,NILE,7/31/2013,2251908,100040,22.510076
NILE,NILE,7/15/2013,2302325,109886,20.951941
NILE,NILE,6/28/2013,2282551,244197,9.347171
NILE,NILE,6/14/2013,2252193,145779,15.449365
NILE,NILE,5/31/2013,2179551,196279,11.104351
NILE,NILE,5/15/2013,2259709,233161,9.691625
NILE,NILE,4/30/2013,2224758,130683,17.024081
NILE,NILE,4/15/2013,2375960,174797,13.592682
NILE,NILE,3/28/2013,2584223,109875,23.519663
NILE,NILE,3/15/2013,2531020,148148,17.084402
NILE,NILE,2/28/2013,2659287,277467,9.584156
NILE,NILE,2/15/2013,2544898,467951,5.438386
NILE,NILE,1/31/2013,2470611,322110,7.670085
NILE,NILE,1/15/2013,2651585,265649,9.981536
