filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NMFC,NMFC,12/13/2013,588543,352765,1.668371
NMFC,NMFC,11/29/2013,588568,320042,1.839034
NMFC,NMFC,11/15/2013,608040,337839,1.799792
NMFC,NMFC,10/31/2013,688910,430766,1.599267
NMFC,NMFC,10/15/2013,889530,865862,1.027335
NMFC,NMFC,9/30/2013,931301,286539,3.250172
NMFC,NMFC,9/13/2013,1024289,217145,4.717074
NMFC,NMFC,8/30/2013,1130028,211289,5.348258
NMFC,NMFC,8/15/2013,1007250,240849,4.182081
NMFC,NMFC,7/31/2013,756039,348723,2.168022
NMFC,NMFC,7/15/2013,1242468,394226,3.151664
NMFC,NMFC,6/28/2013,845470,953833,1.000000
NMFC,NMFC,6/14/2013,871045,209119,4.165308
NMFC,NMFC,5/31/2013,747573,236313,3.163487
NMFC,NMFC,5/15/2013,817161,326090,2.505937
NMFC,NMFC,4/30/2013,910312,531501,1.712719
NMFC,NMFC,4/15/2013,667303,284915,2.342113
NMFC,NMFC,3/28/2013,593219,1006641,1.000000
NMFC,NMFC,3/15/2013,590099,186988,3.155812
NMFC,NMFC,2/28/2013,630293,147379,4.276681
NMFC,NMFC,2/15/2013,605642,133592,4.533520
NMFC,NMFC,1/31/2013,690562,163895,4.213442
NMFC,NMFC,1/15/2013,730778,177587,4.115042
