filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NPBC,NPBC,12/13/2013,3603310,855252,4.213156
NPBC,NPBC,11/29/2013,3361001,566674,5.931101
NPBC,NPBC,11/15/2013,3718544,488200,7.616846
NPBC,NPBC,10/31/2013,3758339,765678,4.908511
NPBC,NPBC,10/15/2013,3871809,905121,4.277670
NPBC,NPBC,9/30/2013,5255630,766552,6.856195
NPBC,NPBC,9/13/2013,5809165,872042,6.661566
NPBC,NPBC,8/30/2013,5603848,525661,10.660574
NPBC,NPBC,8/15/2013,5639220,311622,18.096347
NPBC,NPBC,7/31/2013,5740519,498308,11.520022
NPBC,NPBC,7/15/2013,6281340,641955,9.784705
NPBC,NPBC,6/28/2013,6667883,838329,7.953778
NPBC,NPBC,6/14/2013,6570060,549969,11.946237
NPBC,NPBC,5/31/2013,6534222,702609,9.299941
NPBC,NPBC,5/15/2013,7077019,659016,10.738767
NPBC,NPBC,4/30/2013,6939376,652288,10.638516
NPBC,NPBC,4/15/2013,7281072,407422,17.871082
NPBC,NPBC,3/28/2013,7328307,410054,17.871566
NPBC,NPBC,3/15/2013,6652340,645602,10.304088
NPBC,NPBC,2/28/2013,6732654,610296,11.031785
NPBC,NPBC,2/15/2013,6576363,333403,19.724966
NPBC,NPBC,1/31/2013,7097162,625599,11.344587
NPBC,NPBC,1/15/2013,5969356,697541,8.557713
