filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NYT,The,12/13/2013,16481959,905891,18.194197
NYT,The,11/29/2013,17019965,667660,25.491964
NYT,The,11/15/2013,17854394,727012,24.558596
NYT,The,10/31/2013,18768727,1164656,16.115254
NYT,The,10/15/2013,19312973,1047006,18.445905
NYT,The,9/30/2013,18980023,1228952,15.444072
NYT,The,9/13/2013,18258082,691411,26.406988
NYT,The,8/30/2013,18252363,713481,25.582129
NYT,The,8/15/2013,17150348,1232855,13.911083
NYT,The,7/31/2013,16916201,1356461,12.470835
NYT,The,7/15/2013,17726334,1458471,12.154053
NYT,The,6/28/2013,17957762,1715385,10.468648
NYT,The,6/14/2013,17763270,1328701,13.368899
NYT,The,5/31/2013,17257458,2207787,7.816632
NYT,The,5/15/2013,15940639,1355195,11.762616
NYT,The,4/30/2013,14398191,1926447,7.473962
NYT,The,4/15/2013,12134566,914106,13.274791
NYT,The,3/28/2013,12214321,1052977,11.599798
NYT,The,3/15/2013,12192606,1143046,10.666768
NYT,The,2/28/2013,12313324,1455389,8.460504
NYT,The,2/15/2013,11559365,1719149,6.723888
NYT,The,1/31/2013,11362504,847578,13.405851
NYT,The,1/15/2013,11972176,693866,17.254306
