filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
OGXI,OGXI,12/13/2013,530926,116944,4.540002
OGXI,OGXI,11/29/2013,594540,143020,4.157041
OGXI,OGXI,11/15/2013,599814,167799,3.574598
OGXI,OGXI,10/31/2013,540336,244443,2.210479
OGXI,OGXI,10/15/2013,584873,79205,7.384294
OGXI,OGXI,9/30/2013,552708,73998,7.469229
OGXI,OGXI,9/13/2013,576382,41449,13.905812
OGXI,OGXI,8/30/2013,565264,72588,7.787293
OGXI,OGXI,8/15/2013,532214,79972,6.655004
OGXI,OGXI,7/31/2013,483004,64281,7.513947
OGXI,OGXI,7/15/2013,534017,69320,7.703650
OGXI,OGXI,6/28/2013,538675,69353,7.767148
OGXI,OGXI,6/14/2013,544456,56433,9.647830
OGXI,OGXI,5/31/2013,537179,69778,7.698401
OGXI,OGXI,5/15/2013,580743,115554,5.025728
OGXI,OGXI,4/30/2013,524425,43959,11.929866
OGXI,OGXI,4/15/2013,504295,90976,5.543165
OGXI,OGXI,3/28/2013,487388,57147,8.528672
OGXI,OGXI,3/15/2013,455807,49666,9.177445
OGXI,OGXI,2/28/2013,467047,47211,9.892758
OGXI,OGXI,2/15/2013,396843,47593,8.338264
OGXI,OGXI,1/31/2013,355103,38886,9.131898
OGXI,OGXI,1/15/2013,376509,31085,12.112241
