filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PBI,PBI,12/13/2013,31405169,3941128,7.968574
PBI,PBI,11/29/2013,33295506,3454672,9.637820
PBI,PBI,11/15/2013,38447582,5187364,7.411776
PBI,PBI,10/31/2013,44407290,4800765,9.250045
PBI,PBI,10/15/2013,45887312,3923371,11.695889
PBI,PBI,9/30/2013,47754142,3346122,14.271489
PBI,PBI,9/13/2013,51635140,2634109,19.602507
PBI,PBI,8/30/2013,51943048,2379629,21.828213
PBI,PBI,8/15/2013,54243950,4626129,11.725559
PBI,PBI,7/31/2013,56760497,10140714,5.597288
PBI,PBI,7/15/2013,61340419,4342613,14.125233
PBI,PBI,6/28/2013,57448677,2919775,19.675721
PBI,PBI,6/14/2013,56354332,3635666,15.500415
PBI,PBI,5/31/2013,58961000,3600280,16.376782
PBI,PBI,5/15/2013,58026051,4927561,11.775816
PBI,PBI,4/30/2013,58842745,6719538,8.756963
PBI,PBI,4/15/2013,58812999,3583103,16.413985
PBI,PBI,3/28/2013,56235714,2620935,21.456356
PBI,PBI,3/15/2013,59570279,3764148,15.825701
PBI,PBI,2/28/2013,58629123,2377155,24.663568
PBI,PBI,2/15/2013,59949657,4255969,14.086018
PBI,PBI,1/31/2013,57991826,5599248,10.357074
PBI,PBI,1/15/2013,59462055,4215247,14.106422
