filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PFG,PFG,12/13/2013,5082782,1310773,3.877698
PFG,PFG,11/29/2013,5904725,1144200,5.160571
PFG,PFG,11/15/2013,5849346,1158589,5.048681
PFG,PFG,10/31/2013,6366863,1282416,4.964741
PFG,PFG,10/15/2013,5716860,1146747,4.985284
PFG,PFG,9/30/2013,5785898,1218944,4.746648
PFG,PFG,9/13/2013,5370354,1330660,4.035857
PFG,PFG,8/30/2013,5025222,1080039,4.652815
PFG,PFG,8/15/2013,5947380,1304554,4.558937
PFG,PFG,7/31/2013,7051916,1710445,4.122855
PFG,PFG,7/15/2013,8300140,1528937,5.428700
PFG,PFG,6/28/2013,8145094,1730306,4.707314
PFG,PFG,6/14/2013,8307449,1461673,5.683521
PFG,PFG,5/31/2013,9062104,1316515,6.883404
PFG,PFG,5/15/2013,8523574,1131003,7.536297
PFG,PFG,4/30/2013,9491160,1410216,6.730288
PFG,PFG,4/15/2013,9224646,1643719,5.612058
PFG,PFG,3/28/2013,8263772,1363507,6.060674
PFG,PFG,3/15/2013,9469660,1520424,6.228302
PFG,PFG,2/28/2013,8858151,2554719,3.467368
PFG,PFG,2/15/2013,6965337,1961133,3.551690
PFG,PFG,1/31/2013,7032157,1774510,3.962873
PFG,PFG,1/15/2013,7322086,1563890,4.681970
