filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PJC,PJC,12/13/2013,405772,65394,6.205034
PJC,PJC,11/29/2013,546130,36953,14.779044
PJC,PJC,11/15/2013,556551,64203,8.668614
PJC,PJC,10/31/2013,582704,133579,4.362243
PJC,PJC,10/15/2013,757506,79037,9.584195
PJC,PJC,9/30/2013,716093,91319,7.841665
PJC,PJC,9/13/2013,798130,83214,9.591295
PJC,PJC,8/30/2013,816905,93421,8.744340
PJC,PJC,8/15/2013,720691,125878,5.725313
PJC,PJC,7/31/2013,685541,236080,2.903850
PJC,PJC,7/15/2013,897399,155008,5.789372
PJC,PJC,6/28/2013,850208,156150,5.444816
PJC,PJC,6/14/2013,819655,124437,6.586907
PJC,PJC,5/31/2013,719747,152497,4.719745
PJC,PJC,5/15/2013,905063,146159,6.192318
PJC,PJC,4/30/2013,944499,196634,4.803335
PJC,PJC,4/15/2013,1155890,206480,5.598072
PJC,PJC,3/28/2013,1341517,175797,7.631057
PJC,PJC,3/15/2013,1421397,181876,7.815198
PJC,PJC,2/28/2013,1368407,282693,4.840612
PJC,PJC,2/15/2013,1094118,251690,4.347086
PJC,PJC,1/31/2013,714115,210691,3.389395
PJC,PJC,1/15/2013,544376,222290,2.448945
