filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PKY,PKY,12/13/2013,3294278,319273,10.318060
PKY,PKY,11/29/2013,3259210,261042,12.485385
PKY,PKY,11/15/2013,3006864,233351,12.885584
PKY,PKY,10/31/2013,2892199,349459,8.276218
PKY,PKY,10/15/2013,3233947,274808,11.768023
PKY,PKY,9/30/2013,2943007,311049,9.461554
PKY,PKY,9/13/2013,2430178,421346,5.767654
PKY,PKY,8/30/2013,2007711,262360,7.652504
PKY,PKY,8/15/2013,1891203,326373,5.794606
PKY,PKY,7/31/2013,1904789,222302,8.568474
PKY,PKY,7/15/2013,2158639,344998,6.256961
PKY,PKY,6/28/2013,1693813,740632,2.286983
PKY,PKY,6/14/2013,1805602,797084,2.265259
PKY,PKY,5/31/2013,1916563,320816,5.974026
PKY,PKY,5/15/2013,2092835,246912,8.476036
PKY,PKY,4/30/2013,2135595,269453,7.925668
PKY,PKY,4/15/2013,2046953,300729,6.806637
PKY,PKY,3/28/2013,1989079,1259279,1.579538
PKY,PKY,3/15/2013,2358526,243877,9.670965
PKY,PKY,2/28/2013,2399603,261145,9.188776
PKY,PKY,2/15/2013,2497611,315177,7.924471
PKY,PKY,1/31/2013,1991754,454485,4.382442
PKY,PKY,1/15/2013,1606359,397727,4.038848
