filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
RELL,RELL,12/13/2013,125262,30093,4.162496
RELL,RELL,11/29/2013,146801,22136,6.631776
RELL,RELL,11/15/2013,158470,30644,5.171322
RELL,RELL,10/31/2013,185888,41384,4.491784
RELL,RELL,10/15/2013,200257,22496,8.901894
RELL,RELL,9/30/2013,199402,16962,11.755807
RELL,RELL,9/13/2013,207583,15576,13.327106
RELL,RELL,8/30/2013,205495,28263,7.270813
RELL,RELL,8/15/2013,180722,19406,9.312687
RELL,RELL,7/31/2013,181438,22425,8.090881
RELL,RELL,7/15/2013,206514,26491,7.795629
RELL,RELL,6/28/2013,234089,53828,4.348833
RELL,RELL,6/14/2013,230802,34148,6.758873
RELL,RELL,5/31/2013,218193,36480,5.981168
RELL,RELL,5/15/2013,230881,17485,13.204518
RELL,RELL,4/30/2013,242430,27028,8.969587
RELL,RELL,4/15/2013,221111,26119,8.465523
RELL,RELL,3/28/2013,220656,17668,12.489020
RELL,RELL,3/15/2013,227976,19227,11.857076
RELL,RELL,2/28/2013,239222,22174,10.788401
RELL,RELL,2/15/2013,230424,15688,14.687914
RELL,RELL,1/31/2013,237938,41239,5.769733
RELL,RELL,1/15/2013,262901,33202,7.918228
