filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
RIGL,RIGL,12/13/2013,2995441,965544,3.102335
RIGL,RIGL,11/29/2013,3170525,978370,3.240620
RIGL,RIGL,11/15/2013,3299211,500513,6.591659
RIGL,RIGL,10/31/2013,3721338,475831,7.820714
RIGL,RIGL,10/15/2013,3920159,592209,6.619553
RIGL,RIGL,9/30/2013,4275828,1120461,3.816133
RIGL,RIGL,9/13/2013,6006682,815653,7.364262
RIGL,RIGL,8/30/2013,6025019,723510,8.327485
RIGL,RIGL,8/15/2013,5963935,1057596,5.639143
RIGL,RIGL,7/31/2013,6055925,601393,10.069830
RIGL,RIGL,7/15/2013,6316770,752443,8.395015
RIGL,RIGL,6/28/2013,6246969,1625236,3.843730
RIGL,RIGL,6/14/2013,5256363,1535511,3.423201
RIGL,RIGL,5/31/2013,4650360,855149,5.438070
RIGL,RIGL,5/15/2013,4672053,707232,6.606111
RIGL,RIGL,4/30/2013,4236933,937651,4.518667
RIGL,RIGL,4/15/2013,3990895,2261760,1.764509
RIGL,RIGL,3/28/2013,3528966,406058,8.690793
RIGL,RIGL,3/15/2013,3284107,487975,6.730072
RIGL,RIGL,2/28/2013,3053734,352055,8.674025
RIGL,RIGL,2/15/2013,3157731,417535,7.562794
RIGL,RIGL,1/31/2013,3299159,499051,6.610865
RIGL,RIGL,1/15/2013,3044663,409944,7.427022
