filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
RUSHA,RUSHA,12/13/2013,2378202,114506,20.769235
RUSHA,RUSHA,11/29/2013,2290655,57477,39.853420
RUSHA,RUSHA,11/15/2013,2315045,76314,30.335784
RUSHA,RUSHA,10/31/2013,2493043,108374,23.004069
RUSHA,RUSHA,10/15/2013,2465643,81707,30.176643
RUSHA,RUSHA,9/30/2013,2513076,107067,23.471994
RUSHA,RUSHA,9/13/2013,2571671,122191,21.046321
RUSHA,RUSHA,8/30/2013,2525341,102767,24.573462
RUSHA,RUSHA,8/15/2013,2400287,102732,23.364550
RUSHA,RUSHA,7/31/2013,2449496,213061,11.496689
RUSHA,RUSHA,7/15/2013,2515023,131969,19.057680
RUSHA,RUSHA,6/28/2013,2379971,196643,12.103004
RUSHA,RUSHA,6/14/2013,2419108,121049,19.984535
RUSHA,RUSHA,5/31/2013,2274917,90298,25.193437
RUSHA,RUSHA,5/15/2013,2295286,89331,25.694171
RUSHA,RUSHA,4/30/2013,2265475,92265,24.554002
RUSHA,RUSHA,4/15/2013,2127789,110855,19.194344
RUSHA,RUSHA,3/28/2013,2170484,108592,19.987513
RUSHA,RUSHA,3/15/2013,2130860,142881,14.913529
RUSHA,RUSHA,2/28/2013,2098487,140135,14.974753
RUSHA,RUSHA,2/15/2013,2100052,149908,14.008939
RUSHA,RUSHA,1/31/2013,2124675,127513,16.662419
RUSHA,RUSHA,1/15/2013,1979904,140405,14.101378
