filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
RUTH,RUTH,12/13/2013,671371,238359,2.816638
RUTH,RUTH,11/29/2013,663703,249135,2.664030
RUTH,RUTH,11/15/2013,704913,287125,2.455074
RUTH,RUTH,10/31/2013,691053,191908,3.600960
RUTH,RUTH,10/15/2013,699156,220890,3.165177
RUTH,RUTH,9/30/2013,750619,159080,4.718500
RUTH,RUTH,9/13/2013,807602,195154,4.138281
RUTH,RUTH,8/30/2013,783373,146484,5.347840
RUTH,RUTH,8/15/2013,675657,253382,2.666555
RUTH,RUTH,7/31/2013,730018,303135,2.408227
RUTH,RUTH,7/15/2013,856287,276531,3.096532
RUTH,RUTH,6/28/2013,887665,229984,3.859682
RUTH,RUTH,6/14/2013,896604,329712,2.719355
RUTH,RUTH,5/31/2013,874225,207158,4.220088
RUTH,RUTH,5/15/2013,984911,451586,2.181004
RUTH,RUTH,4/30/2013,957248,239863,3.990811
RUTH,RUTH,4/15/2013,935552,166046,5.634294
RUTH,RUTH,3/28/2013,1065355,122927,8.666566
RUTH,RUTH,3/15/2013,1008048,182489,5.523884
RUTH,RUTH,2/28/2013,1110166,428931,2.588216
RUTH,RUTH,2/15/2013,1309277,139579,9.380186
RUTH,RUTH,1/31/2013,1339534,104182,12.857634
RUTH,RUTH,1/15/2013,1406988,215312,6.534647
