filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SON,SON,12/13/2013,3548621,403736,8.789459
SON,SON,11/29/2013,3573655,255317,13.996933
SON,SON,11/15/2013,3637920,263321,13.815533
SON,SON,10/31/2013,3560951,391960,9.084986
SON,SON,10/15/2013,3386489,435858,7.769707
SON,SON,9/30/2013,3061558,384991,7.952285
SON,SON,9/13/2013,2728708,370808,7.358816
SON,SON,8/30/2013,2605370,219070,11.892865
SON,SON,8/15/2013,2570368,313543,8.197817
SON,SON,7/31/2013,2389791,428350,5.579062
SON,SON,7/15/2013,2148496,288633,7.443695
SON,SON,6/28/2013,2184300,287022,7.610218
SON,SON,6/14/2013,2174516,244026,8.911001
SON,SON,5/31/2013,2194607,242119,9.064167
SON,SON,5/15/2013,2291453,259455,8.831794
SON,SON,4/30/2013,2377801,501738,4.739129
SON,SON,4/15/2013,2143102,451406,4.747615
SON,SON,3/28/2013,2142966,420934,5.090979
SON,SON,3/15/2013,2188547,480210,4.557479
SON,SON,2/28/2013,2040487,447926,4.555411
SON,SON,2/15/2013,1733578,329106,5.267537
SON,SON,1/31/2013,1717855,371476,4.624404
SON,SON,1/15/2013,1714426,457446,3.747822
