filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SXC,SXC,12/13/2013,2636379,766190,3.440895
SXC,SXC,11/29/2013,2138380,367333,5.821366
SXC,SXC,11/15/2013,2074364,542057,3.826837
SXC,SXC,10/31/2013,1716599,515980,3.326871
SXC,SXC,10/15/2013,1893593,429897,4.404760
SXC,SXC,9/30/2013,1864349,455792,4.090350
SXC,SXC,9/13/2013,2016600,414691,4.862898
SXC,SXC,8/30/2013,2050264,340381,6.023438
SXC,SXC,8/15/2013,1893792,483927,3.913384
SXC,SXC,7/31/2013,2080197,563299,3.692882
SXC,SXC,7/15/2013,2342656,513729,4.560101
SXC,SXC,6/28/2013,2433509,972464,2.502416
SXC,SXC,6/14/2013,2282046,462511,4.934036
SXC,SXC,5/31/2013,1646447,660645,2.492181
SXC,SXC,5/15/2013,1769809,703803,2.514637
SXC,SXC,4/30/2013,1935234,943062,2.052075
SXC,SXC,4/15/2013,2202603,1024490,2.149951
SXC,SXC,3/28/2013,2273294,468227,4.855111
SXC,SXC,3/15/2013,2325556,547587,4.246916
SXC,SXC,2/28/2013,2248898,399423,5.630367
SXC,SXC,2/15/2013,2205412,429235,5.138006
SXC,SXC,1/31/2013,2332005,475986,4.899314
SXC,SXC,1/15/2013,2843953,419147,6.785097
