filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TAP,TAP,12/13/2013,5641595,1052936,5.357966
TAP,TAP,11/29/2013,5358779,565440,9.477184
TAP,TAP,11/15/2013,5691336,1020986,5.574353
TAP,TAP,10/31/2013,4929279,960137,5.133933
TAP,TAP,10/15/2013,5147666,880814,5.844215
TAP,TAP,9/30/2013,5078066,852092,5.959528
TAP,TAP,9/13/2013,5203945,1001231,5.197547
TAP,TAP,8/30/2013,4904696,1108441,4.424860
TAP,TAP,8/15/2013,6947507,2147384,3.235335
TAP,TAP,7/31/2013,5587525,1705792,3.275619
TAP,TAP,7/15/2013,4515278,1301805,3.468475
TAP,TAP,6/28/2013,4108468,1510031,2.720784
TAP,TAP,6/14/2013,3295397,1249917,2.636493
TAP,TAP,5/31/2013,3407913,1404347,2.426689
TAP,TAP,5/15/2013,2848928,1250080,2.278997
TAP,TAP,4/30/2013,2849673,1293573,2.202947
TAP,TAP,4/15/2013,2464865,1608982,1.531941
TAP,TAP,3/28/2013,2615415,932194,2.805655
TAP,TAP,3/15/2013,3231604,1380578,2.340762
TAP,TAP,2/28/2013,3064651,2105105,1.455819
TAP,TAP,2/15/2013,2920355,1200792,2.432024
TAP,TAP,1/31/2013,3268497,1169169,2.795573
TAP,TAP,1/15/2013,3069328,1281925,2.394312
