filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TAYC,TAYC,12/13/2013,668584,41573,16.082169
TAYC,TAYC,11/29/2013,699342,27488,25.441720
TAYC,TAYC,11/15/2013,706269,36216,19.501574
TAYC,TAYC,10/31/2013,772205,56136,13.755968
TAYC,TAYC,10/15/2013,902447,47716,18.912880
TAYC,TAYC,9/30/2013,958400,44953,21.320045
TAYC,TAYC,9/13/2013,954696,31386,30.417893
TAYC,TAYC,8/30/2013,956335,43199,22.137897
TAYC,TAYC,8/15/2013,920825,124225,7.412558
TAYC,TAYC,7/31/2013,1159527,271715,4.267438
TAYC,TAYC,7/15/2013,1896275,509887,3.719010
TAYC,TAYC,6/28/2013,1398092,121978,11.461837
TAYC,TAYC,6/14/2013,1438823,85765,16.776342
TAYC,TAYC,5/31/2013,1132805,92166,12.290921
TAYC,TAYC,5/15/2013,1055901,93212,11.327951
TAYC,TAYC,4/30/2013,744238,313217,2.376110
TAYC,TAYC,4/15/2013,913687,70164,13.022162
TAYC,TAYC,3/28/2013,1150461,64382,17.869296
TAYC,TAYC,3/15/2013,1112517,89560,12.422030
TAYC,TAYC,2/28/2013,1025724,95962,10.688856
TAYC,TAYC,2/15/2013,888445,101832,8.724615
TAYC,TAYC,1/31/2013,996810,125131,7.966131
TAYC,TAYC,1/15/2013,1023832,50402,20.313321
