filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TK,TK,12/13/2013,2109000,277924,7.588405
TK,TK,11/29/2013,2059142,165205,12.464163
TK,TK,11/15/2013,2064150,266047,7.758592
TK,TK,10/31/2013,1966159,184724,10.643766
TK,TK,10/15/2013,3801899,764182,4.975122
TK,TK,9/30/2013,3238114,263833,12.273347
TK,TK,9/13/2013,2840735,322049,8.820816
TK,TK,8/30/2013,2460603,157032,15.669437
TK,TK,8/15/2013,2433371,283297,8.589470
TK,TK,7/31/2013,2173146,235157,9.241256
TK,TK,7/15/2013,2139867,222113,9.634137
TK,TK,6/28/2013,1962466,335118,5.856045
TK,TK,6/14/2013,1931143,389413,4.959113
TK,TK,5/31/2013,1638811,394860,4.150360
TK,TK,5/15/2013,1645632,388346,4.237541
TK,TK,4/30/2013,1306888,431194,3.030858
TK,TK,4/15/2013,1306798,247688,5.275984
TK,TK,3/28/2013,1347209,285240,4.723072
TK,TK,3/15/2013,1374553,312770,4.394773
TK,TK,2/28/2013,1651676,478227,3.453749
TK,TK,2/15/2013,1518405,191989,7.908812
TK,TK,1/31/2013,1645220,583932,2.817486
TK,TK,1/15/2013,1434648,409196,3.506017
