filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TRAK,TRAK,12/13/2013,2527931,329855,7.663764
TRAK,TRAK,11/29/2013,2384231,197376,12.079640
TRAK,TRAK,11/15/2013,2268276,313455,7.236369
TRAK,TRAK,10/31/2013,2025679,180263,11.237353
TRAK,TRAK,10/15/2013,1872418,213110,8.786157
TRAK,TRAK,9/30/2013,1671576,171380,9.753624
TRAK,TRAK,9/13/2013,1797634,200476,8.966829
TRAK,TRAK,8/30/2013,1852303,164446,11.263898
TRAK,TRAK,8/15/2013,1953120,237118,8.236912
TRAK,TRAK,7/31/2013,2211436,175623,12.591950
TRAK,TRAK,7/15/2013,2696607,239650,11.252272
TRAK,TRAK,6/28/2013,2768195,257636,10.744597
TRAK,TRAK,6/14/2013,2499892,163012,15.335632
TRAK,TRAK,5/31/2013,2326591,166732,13.954076
TRAK,TRAK,5/15/2013,2358166,281934,8.364248
TRAK,TRAK,4/30/2013,2502904,159567,15.685599
TRAK,TRAK,4/15/2013,2417421,173907,13.900654
TRAK,TRAK,3/28/2013,2483275,166013,14.958317
TRAK,TRAK,3/15/2013,2476206,313543,7.897501
TRAK,TRAK,2/28/2013,2417336,358351,6.745721
TRAK,TRAK,2/15/2013,2187056,183281,11.932803
TRAK,TRAK,1/31/2013,2474703,212778,11.630446
TRAK,TRAK,1/15/2013,2371155,300230,7.897795
