filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TRNO,TRNO,12/13/2013,222324,47629,4.667828
TRNO,TRNO,11/29/2013,241549,65305,3.698783
TRNO,TRNO,11/15/2013,255388,35001,7.296592
TRNO,TRNO,10/31/2013,285236,49523,5.759667
TRNO,TRNO,10/15/2013,333439,39104,8.526979
TRNO,TRNO,9/30/2013,306363,55946,5.476048
TRNO,TRNO,9/13/2013,329311,55577,5.925311
TRNO,TRNO,8/30/2013,337120,57154,5.898450
TRNO,TRNO,8/15/2013,288810,74851,3.858465
TRNO,TRNO,7/31/2013,221305,178038,1.243021
TRNO,TRNO,7/15/2013,282815,170477,1.658963
TRNO,TRNO,6/28/2013,314220,124876,2.516256
TRNO,TRNO,6/14/2013,317559,95155,3.337281
TRNO,TRNO,5/31/2013,303934,81802,3.715484
TRNO,TRNO,5/15/2013,316163,83580,3.782759
TRNO,TRNO,4/30/2013,337298,50979,6.616411
TRNO,TRNO,4/15/2013,335849,75792,4.431193
TRNO,TRNO,3/28/2013,330626,96394,3.429944
TRNO,TRNO,3/15/2013,314350,111152,2.828109
TRNO,TRNO,2/28/2013,240942,309726,1.000000
TRNO,TRNO,2/15/2013,248400,52926,4.693345
TRNO,TRNO,1/31/2013,255957,157106,1.629199
TRNO,TRNO,1/15/2013,269672,29320,9.197544
