filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
VC,VC,12/13/2013,1695862,598805,2.832077
VC,VC,11/29/2013,1841499,472330,3.898755
VC,VC,11/15/2013,1775119,637273,2.785492
VC,VC,10/31/2013,2172172,371128,5.852892
VC,VC,10/15/2013,2233507,395878,5.641907
VC,VC,9/30/2013,2396605,638403,3.754063
VC,VC,9/13/2013,2491808,445959,5.587527
VC,VC,8/30/2013,2553987,537214,4.754133
VC,VC,8/15/2013,952023,814575,1.168736
VC,VC,7/31/2013,1011879,345869,2.925613
VC,VC,7/15/2013,1131851,473344,2.391181
VC,VC,6/28/2013,1216848,477748,2.547050
VC,VC,6/14/2013,1566938,391695,4.000403
VC,VC,5/31/2013,1492497,440912,3.385022
VC,VC,5/15/2013,1302386,611948,2.128263
VC,VC,4/30/2013,1274560,532724,2.392533
VC,VC,4/15/2013,1689305,513431,3.290228
VC,VC,3/28/2013,2251766,523609,4.300472
VC,VC,3/15/2013,2887321,411386,7.018520
VC,VC,2/28/2013,1427419,467659,3.052265
VC,VC,2/15/2013,1346850,294959,4.566228
VC,VC,1/31/2013,1282265,367359,3.490496
VC,VC,1/15/2013,1291988,796222,1.622648
