filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
WAB,WAB,12/13/2013,1110223,775373,1.431857
WAB,WAB,11/29/2013,1305370,441545,2.956369
WAB,WAB,11/15/2013,965076,431697,2.235540
WAB,WAB,10/31/2013,1106801,345494,3.203532
WAB,WAB,10/15/2013,1326410,384816,3.446868
WAB,WAB,9/30/2013,1135587,452182,2.511349
WAB,WAB,9/13/2013,1277464,494899,2.581262
WAB,WAB,8/30/2013,1050153,360610,2.912157
WAB,WAB,8/15/2013,889487,384850,2.311256
WAB,WAB,7/31/2013,885444,469458,1.886098
WAB,WAB,7/15/2013,796764,432103,1.843921
WAB,WAB,6/28/2013,681071,688303,1.000000
WAB,WAB,6/14/2013,884005,601907,1.468674
WAB,WAB,5/31/2013,1024274,597578,1.714042
WAB,WAB,5/15/2013,681326,547094,1.245355
WAB,WAB,4/30/2013,741284,626964,1.182339
WAB,WAB,4/15/2013,411196,615654,1.000000
WAB,WAB,3/28/2013,504970,450882,1.119960
WAB,WAB,3/15/2013,517032,494314,1.045959
WAB,WAB,2/28/2013,679008,621636,1.092292
WAB,WAB,2/15/2013,656338,597250,1.098933
WAB,WAB,1/31/2013,633860,466462,1.358867
WAB,WAB,1/15/2013,767564,484530,1.584141
