filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
WAC,WAC,12/13/2013,3681835,428008,8.602257
WAC,WAC,11/29/2013,4069062,367126,11.083557
WAC,WAC,11/15/2013,3972235,1068447,3.717765
WAC,WAC,10/31/2013,3619401,456372,7.930813
WAC,WAC,10/15/2013,3795108,418588,9.066452
WAC,WAC,9/30/2013,3640230,495955,7.339839
WAC,WAC,9/13/2013,3445929,543745,6.337399
WAC,WAC,8/30/2013,3317923,481746,6.887287
WAC,WAC,8/15/2013,3561996,813684,4.377616
WAC,WAC,7/31/2013,3043250,541374,5.621345
WAC,WAC,7/15/2013,2963315,709704,4.175424
WAC,WAC,6/28/2013,2667033,842930,3.164003
WAC,WAC,6/14/2013,2843508,645225,4.407002
WAC,WAC,5/31/2013,2733912,886336,3.084510
WAC,WAC,5/15/2013,3062200,1065210,2.874738
WAC,WAC,4/30/2013,2989477,587728,5.086497
WAC,WAC,4/15/2013,2920404,913729,3.196138
WAC,WAC,3/28/2013,2861311,2907306,1.000000
WAC,WAC,3/15/2013,2694446,500505,5.383455
WAC,WAC,2/28/2013,2891406,443921,6.513335
WAC,WAC,2/15/2013,2911934,445292,6.539381
WAC,WAC,1/31/2013,3251013,477720,6.805269
