filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
WTSL,WTSL,12/13/2013,8845826,1605971,5.508086
WTSL,WTSL,11/29/2013,9084097,843758,10.766235
WTSL,WTSL,11/15/2013,8510568,666625,12.766650
WTSL,WTSL,10/31/2013,8835728,1215482,7.269320
WTSL,WTSL,10/15/2013,9675808,1003928,9.637950
WTSL,WTSL,9/30/2013,8858867,1546679,5.727670
WTSL,WTSL,9/13/2013,5596766,794273,7.046401
WTSL,WTSL,8/30/2013,5292078,901225,5.872094
WTSL,WTSL,8/15/2013,4103558,775951,5.288424
WTSL,WTSL,7/31/2013,4636472,627308,7.391061
WTSL,WTSL,7/15/2013,5810356,833539,6.970707
WTSL,WTSL,6/28/2013,5480649,1761752,3.110908
WTSL,WTSL,6/14/2013,3587590,1320439,2.716968
WTSL,WTSL,5/31/2013,3019896,1624822,1.858601
WTSL,WTSL,5/15/2013,2759471,897937,3.073123
WTSL,WTSL,4/30/2013,2839002,692611,4.098985
WTSL,WTSL,4/15/2013,2800505,669292,4.184280
WTSL,WTSL,3/28/2013,2676223,582256,4.596300
WTSL,WTSL,3/15/2013,2756430,450761,6.115059
WTSL,WTSL,2/28/2013,2744271,385644,7.116073
WTSL,WTSL,2/15/2013,2722045,597751,4.553811
WTSL,WTSL,1/31/2013,2754150,649819,4.238334
WTSL,WTSL,1/15/2013,3000656,504113,5.952348
