filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
XPO,XPO,12/13/2013,6076885,366195,16.594670
XPO,XPO,11/29/2013,5209274,332185,15.681846
XPO,XPO,11/15/2013,4471640,536151,8.340262
XPO,XPO,10/31/2013,3705551,484894,7.641982
XPO,XPO,10/15/2013,3887029,344411,11.286019
XPO,XPO,9/30/2013,4095507,394251,10.388070
XPO,XPO,9/13/2013,4003858,310380,12.899858
XPO,XPO,8/30/2013,3688379,429160,8.594415
XPO,XPO,8/15/2013,3764039,837865,4.492417
XPO,XPO,7/31/2013,3956779,457481,8.649056
XPO,XPO,7/15/2013,3899096,189132,20.615739
XPO,XPO,6/28/2013,3866196,152939,25.279334
XPO,XPO,6/14/2013,3589350,148044,24.245157
XPO,XPO,5/31/2013,3613931,174754,20.680105
XPO,XPO,5/15/2013,3731534,221234,16.866910
XPO,XPO,4/30/2013,3575623,149266,23.954705
XPO,XPO,4/15/2013,3452214,214209,16.116102
XPO,XPO,3/28/2013,3405139,144576,23.552588
XPO,XPO,3/15/2013,3416432,216484,15.781453
XPO,XPO,2/28/2013,2995919,334158,8.965576
XPO,XPO,2/15/2013,3083390,282851,10.901110
XPO,XPO,1/31/2013,3192920,198117,16.116335
XPO,XPO,1/15/2013,3091001,192539,16.053896
